order_id,customer_name,category,sales,profit
CA-2014-145317,Sean Miller,Technology,22638.48,-1811.0784
CA-2016-118689,Tamara Chand,Technology,17499.95,8399.976
CA-2017-140151,Raymond Buch,Technology,13999.96,6719.9808
CA-2017-127180,Tom Ashbrook,Technology,11199.968,3919.9888
CA-2017-166709,Hunter Lopez,Technology,10499.97,5039.9856
CA-2016-117121,Adrian Barton,Office Supplies,9892.74,4946.37
CA-2014-116904,Sanjit Chand,Office Supplies,9449.95,4630.4755
US-2016-107440,Bill Shonely,Technology,9099.93,2365.9818
CA-2016-158841,Sanjit Engle,Technology,8749.95,2799.984
CA-2016-143714,Christopher Conant,Technology,8399.976,1119.9968
