row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
2698,CA-2014-145317,3/18/2014,3/23/2014,Standard Class,SM-20320,Sean Miller,Home Office,United States,Jacksonville,Florida,32216,South,TEC-MA-10002412,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,6,0.5,-1811.0784
6827,CA-2016-118689,10/2/2016,10/9/2016,Standard Class,TC-20980,Tamara Chand,Corporate,United States,Lafayette,Indiana,47905,Central,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,17499.95,5,0.0,8399.976
8154,CA-2017-140151,3/23/2017,3/25/2017,First Class,RB-19360,Raymond Buch,Consumer,United States,Seattle,Washington,98115,West,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,13999.96,4,0.0,6719.9808
2624,CA-2017-127180,10/22/2017,10/24/2017,First Class,TA-21385,Tom Ashbrook,Home Office,United States,New York City,New York,10024,East,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,11199.968,4,0.2,3919.9888
4191,CA-2017-166709,11/17/2017,11/22/2017,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Newark,Delaware,19711,East,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,10499.97,3,0.0,5039.9856
9040,CA-2016-117121,12/17/2016,12/21/2016,Standard Class,AB-10105,Adrian Barton,Consumer,United States,Detroit,Michigan,48205,Central,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,9892.74,13,0.0,4946.37
4099,CA-2014-116904,9/23/2014,9/28/2014,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,9449.95,5,0.0,4630.4755
4278,US-2016-107440,4/16/2016,4/20/2016,Standard Class,BS-11365,Bill Shonely,Corporate,United States,Lakewood,New Jersey,8701,East,TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93,7,0.0,2365.9818
8489,CA-2016-158841,2/2/2016,2/4/2016,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,22204,South,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",8749.95,5,0.0,2799.984
6426,CA-2016-143714,5/23/2016,5/27/2016,Standard Class,CC-12370,Christopher Conant,Consumer,United States,Philadelphia,Pennsylvania,19120,East,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,8399.976,4,0.4,1119.9968
2506,CA-2014-143917,7/25/2014,7/27/2014,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,San Francisco,California,94122,West,OFF-SU-10000151,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,8187.65,5,0.0,327.506
166,CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4,-1359.992
684,US-2017-168116,11/4/2017,11/4/2017,Same Day,GT-14635,Grant Thornton,Corporate,United States,Burlington,North Carolina,27217,South,TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,7999.98,4,0.5,-3839.9904
6627,CA-2014-145541,12/14/2014,12/21/2014,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,United States,New York City,New York,10024,East,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",6999.96,4,0.0,2239.9872
510,CA-2015-145352,3/16/2015,3/22/2015,Standard Class,CM-12385,Christopher Martinez,Consumer,United States,Atlanta,Georgia,30318,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354.95,5,0.0,3177.475
6521,CA-2017-138289,1/16/2017,1/18/2017,Second Class,AR-10540,Andy Reiter,Consumer,United States,Jackson,Michigan,49201,Central,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,5443.96,4,0.0,2504.2216
7667,US-2016-140158,10/4/2016,10/8/2016,Standard Class,DR-12940,Daniel Raglin,Home Office,United States,Providence,Rhode Island,2908,East,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,5399.91,9,0.0,2591.9568
6341,CA-2017-143112,10/5/2017,10/9/2017,Standard Class,TS-21370,Todd Sumrall,Corporate,United States,New York City,New York,10035,East,TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",5199.96,4,0.0,1351.9896
8859,CA-2017-135909,10/13/2017,10/20/2017,Standard Class,JW-15220,Jane Waco,Corporate,United States,Sacramento,California,95823,West,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,5083.96,5,0.2,1906.485
5885,CA-2016-136301,3/13/2016,3/15/2016,Second Class,EH-13765,Edward Hooks,Corporate,United States,San Francisco,California,94109,West,OFF-SU-10000151,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,4912.59,3,0.0,196.5036
1086,US-2016-143819,3/1/2016,3/5/2016,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Yonkers,New York,10701,East,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,4899.93,7,0.0,2400.9657
8991,US-2015-128587,12/24/2015,12/30/2015,Standard Class,HM-14860,Harry Marie,Corporate,United States,Springfield,Missouri,65807,Central,TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier,4899.93,7,0.0,2302.9671
4219,CA-2017-149881,4/1/2017,4/3/2017,First Class,NC-18535,Nick Crebassa,Corporate,United States,San Francisco,California,94110,West,TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,4799.984,2,0.2,359.9988
1804,CA-2017-158379,9/22/2017,9/26/2017,Second Class,JA-15970,Joseph Airdo,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4663.736,7,0.2,-1049.3406
8205,CA-2015-114811,11/8/2015,11/8/2015,Same Day,KD-16495,Keith Dawkins,Corporate,United States,New York City,New York,10024,East,TEC-MA-10000045,Technology,Machines,Zebra ZM400 Thermal Label Printer,4643.8,4,0.0,2229.024
2493,CA-2014-144624,11/19/2014,11/23/2014,Standard Class,JM-15865,John Murray,Consumer,United States,Jamestown,New York,14701,East,TEC-PH-10002885,Technology,Phones,Apple iPhone 5,4548.81,7,0.0,1228.1787
7819,CA-2016-138478,10/21/2016,10/26/2016,Second Class,DP-13390,Dennis Pardue,Home Office,United States,North Las Vegas,Nevada,89031,West,OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,4535.976,3,0.2,1644.2913
7773,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,CS-12505,Cindy Stewart,Consumer,United States,Lancaster,Ohio,43130,East,TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,4499.985,5,0.7,-6599.978
9166,CA-2016-100300,6/24/2016,6/26/2016,Second Class,MJ-17740,Max Jones,Consumer,United States,San Diego,California,92037,West,TEC-MA-10000984,Technology,Machines,Okidata MB760 Printer,4476.8,4,0.2,503.64
7244,CA-2017-118892,8/17/2017,8/22/2017,Second Class,TP-21415,Tom Prescott,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,4416.174,9,0.3,-630.882
9742,CA-2015-117086,11/8/2015,11/12/2015,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,Burlington,Vermont,5408,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4404.9,5,0.0,1013.127
4298,CA-2017-129021,8/23/2017,8/26/2017,Second Class,PO-18850,Patrick O'Brill,Consumer,United States,Tallahassee,Florida,32303,South,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,4367.896,13,0.2,327.5922
354,CA-2016-129714,9/1/2016,9/3/2016,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,4355.168,4,0.2,1415.4296
9271,US-2017-102183,8/21/2017,8/28/2017,Standard Class,PK-19075,Pete Kriz,Consumer,United States,New York City,New York,10035,East,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,4305.552,6,0.2,1453.1238
9640,CA-2015-116638,1/28/2015,1/31/2015,Second Class,JH-15985,Joseph Holt,Consumer,United States,Concord,North Carolina,28027,South,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4297.644,13,0.4,-1862.3124
5918,US-2015-126977,9/17/2015,9/23/2015,Standard Class,PF-19120,Peter Fuller,Consumer,United States,New York City,New York,10035,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4228.704,6,0.2,158.5764
3281,CA-2014-102988,4/5/2014,4/9/2014,Second Class,GM-14695,Greg Maxwell,Corporate,United States,Alexandria,Virginia,22304,South,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4164.05,5,0.0,83.281
6621,US-2017-167402,1/13/2017,1/18/2017,Second Class,CP-12085,Cathy Prescott,Corporate,United States,Springfield,Missouri,65807,Central,OFF-SU-10002881,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,4164.05,5,0.0,83.281
6015,CA-2016-159016,3/10/2016,3/11/2016,First Class,KF-16285,Karen Ferguson,Home Office,United States,Los Angeles,California,90008,West,TEC-PH-10002885,Technology,Phones,Apple iPhone 5,4158.912,8,0.2,363.9048
6536,CA-2014-128209,11/17/2014,11/22/2014,Standard Class,GT-14710,Greg Tran,Consumer,United States,Buffalo,New York,14215,East,FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,4007.84,10,0.2,-50.098
2183,CA-2016-128818,5/7/2016,5/11/2016,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,New York City,New York,10009,East,TEC-MA-10000488,Technology,Machines,Bady BDG101FRU Card Printer,3999.95,5,0.0,1159.9855
319,CA-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024,East,TEC-MA-10002927,Technology,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,2,0.0,1995.99
5199,CA-2016-103982,3/3/2016,3/8/2016,Standard Class,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,78664,Central,OFF-SU-10000151,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,3930.072,3,0.2,-786.0144
7684,CA-2015-120782,4/28/2015,5/1/2015,First Class,SD-20485,Shirley Daniels,Home Office,United States,Midland,Michigan,48640,Central,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,3812.97,3,0.0,1906.485
9426,CA-2014-116246,9/12/2014,9/17/2014,Second Class,LW-17215,Luke Weiss,Consumer,United States,New York City,New York,10035,East,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,3785.292,6,0.1,420.588
1247,CA-2014-168494,12/12/2014,12/14/2014,Second Class,NP-18700,Nora Preis,Consumer,United States,Fresno,California,93727,West,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,3610.848,12,0.2,135.4068
5171,CA-2016-122903,5/27/2016,5/29/2016,Second Class,LA-16780,Laura Armstrong,Corporate,United States,Detroit,Michigan,48205,Central,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,3504.9,5,0.0,700.98
7584,CA-2014-163223,3/21/2014,3/25/2014,Standard Class,KH-16690,Kristen Hastings,Corporate,United States,Springfield,Virginia,22153,South,TEC-PH-10000730,Technology,Phones,Samsung Galaxy S4 Active,3499.93,7,0.0,909.9818
9650,CA-2016-107104,11/26/2016,11/30/2016,Standard Class,MS-17365,Maribeth Schnelling,Consumer,United States,Los Angeles,California,90045,West,FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,3406.664,8,0.15,160.3136
7915,CA-2017-165323,6/17/2017,6/21/2017,Standard Class,SR-20740,Steven Roelle,Home Office,United States,New York City,New York,10024,East,TEC-MA-10003673,Technology,Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,5,0.0,1668.205
9858,CA-2015-164301,3/26/2015,3/30/2015,Standard Class,EB-13840,Ellis Ballard,Corporate,United States,Seattle,Washington,98103,West,FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,3393.68,8,0.0,610.8624
3274,CA-2017-133865,5/8/2017,5/12/2017,Standard Class,PS-19045,Penelope Sewall,Home Office,United States,Los Angeles,California,90032,West,TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,3359.952,6,0.2,1049.985
8101,CA-2016-169663,3/10/2016,3/13/2016,First Class,RH-19510,Rick Huthwaite,Home Office,United States,Los Angeles,California,90045,West,TEC-MA-10000984,Technology,Machines,Okidata MB760 Printer,3357.6,3,0.2,377.73
252,CA-2016-145625,9/11/2016,9/17/2016,Standard Class,KC-16540,Kelly Collister,Consumer,United States,San Diego,California,92037,West,TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,3347.37,13,0.0,636.0003
6818,CA-2014-144414,6/17/2014,6/21/2014,Standard Class,GH-14425,Gary Hwang,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,3266.376,3,0.2,1061.5722
1645,CA-2015-111829,3/19/2015,3/20/2015,First Class,FH-14365,Fred Hopkins,Corporate,United States,Seattle,Washington,98115,West,TEC-CO-10001766,Technology,Copiers,Canon PC940 Copier,3149.93,7,0.0,1480.4671
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
4094,CA-2015-102491,8/24/2015,8/28/2015,Standard Class,KW-16435,Katrina Willman,Consumer,United States,Florence,Kentucky,41042,South,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,3080.0,7,0.0,1416.8
263,US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290,Sean Braxton,Corporate,United States,Houston,Texas,77036,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982,3,0.4,-509.997
978,CA-2017-159366,1/7/2017,1/10/2017,First Class,BW-11110,Bart Watters,Corporate,United States,Detroit,Michigan,48205,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982,2,0.1,679.996
8750,US-2015-163825,6/16/2015,6/19/2015,First Class,LC-16885,Lena Creighton,Consumer,United States,New York City,New York,10009,East,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,3050.376,3,0.2,1143.891
1455,CA-2016-133711,11/26/2016,11/29/2016,First Class,MC-17425,Mark Cousins,Corporate,United States,Mobile,Alabama,36608,South,TEC-MA-10000010,Technology,Machines,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040.0,8,0.0,1459.2
9661,CA-2016-160717,6/6/2016,6/11/2016,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Santa Barbara,California,93101,West,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,3023.928,9,0.2,226.7946
516,CA-2017-127432,1/22/2017,1/27/2017,Standard Class,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405,West,TEC-CO-10003236,Technology,Copiers,Canon Image Class D660 Copier,2999.95,5,0.0,1379.977
5563,CA-2017-133263,3/31/2017,4/2/2017,Second Class,JE-15610,Jim Epp,Corporate,United States,Atlanta,Georgia,30318,South,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,2999.95,5,0.0,1439.976
8103,CA-2015-149846,5/22/2015,5/26/2015,Standard Class,SB-20185,Sarah Brown,Consumer,United States,Los Angeles,California,90045,West,TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2973.32,7,0.2,334.4985
8313,US-2017-105935,1/26/2017,1/31/2017,Standard Class,BD-11500,Bradley Drucker,Consumer,United States,Columbus,Georgia,31907,South,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,2939.93,7,0.0,764.3818
3071,CA-2014-119375,11/17/2014,11/22/2014,Standard Class,YC-21895,Yoseph Carroll,Corporate,United States,Newark,Delaware,19711,East,OFF-ST-10002011,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,2934.33,7,0.0,792.2691
6100,CA-2017-100111,9/20/2017,9/26/2017,Standard Class,SV-20365,Seth Vernon,Consumer,United States,New York City,New York,10035,East,FUR-CH-10004086,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,2888.127,11,0.1,609.7157
6869,US-2016-126452,8/21/2016,8/28/2016,Standard Class,SC-20230,Scot Coram,Corporate,United States,Los Angeles,California,90004,West,FUR-TA-10003569,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,2887.056,9,0.2,180.441
4620,CA-2017-145219,12/24/2017,12/25/2017,First Class,RM-19675,Robert Marley,Home Office,United States,Los Angeles,California,90049,West,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,2879.952,6,0.2,1007.9832
1792,CA-2014-120474,12/1/2014,12/3/2014,First Class,RP-19390,Resi Pölking,Consumer,United States,Madison,Wisconsin,53711,Central,FUR-CH-10001854,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2807.84,8,0.0,673.8816
8237,CA-2017-102204,5/1/2017,5/6/2017,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,Jacksonville,Florida,32216,South,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,2803.92,5,0.2,0.0
9413,CA-2015-164777,1/27/2015,1/29/2015,First Class,SC-20305,Sean Christensen,Consumer,United States,Los Angeles,California,90036,West,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,2803.92,5,0.2,0.0
3056,US-2015-100377,8/28/2015,9/1/2015,Standard Class,TS-21370,Todd Sumrall,Corporate,United States,Chicago,Illinois,60623,Central,TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,2799.96,5,0.2,874.9875
3984,CA-2016-135265,7/7/2016,7/9/2016,Second Class,CC-12370,Christopher Conant,Consumer,United States,Los Angeles,California,90045,West,TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier,2799.96,5,0.2,944.9865
5127,CA-2014-160766,9/14/2014,9/14/2014,Same Day,DM-13015,Darrin Martin,Consumer,United States,New York City,New York,10009,East,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,2799.96,4,0.0,1371.9804
9930,CA-2016-129630,9/4/2016,9/4/2016,Same Day,IM-15055,Ionia McGrath,Consumer,United States,San Francisco,California,94122,West,TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier,2799.96,5,0.2,944.9865
5711,US-2015-160857,5/8/2015,5/15/2015,Standard Class,NW-18400,Natalie Webber,Consumer,United States,New York City,New York,10024,East,TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,2799.944,7,0.2,1014.9797
6210,CA-2017-119809,8/18/2017,8/25/2017,Standard Class,YS-21880,Yana Sorensen,Corporate,United States,Seattle,Washington,98103,West,OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,2793.528,9,0.2,942.8157
488,CA-2014-154627,10/29/2014,10/31/2014,First Class,SA-20830,Sue Ann Reed,Consumer,United States,Chicago,Illinois,60610,Central,TEC-PH-10001363,Technology,Phones,Apple iPhone 5S,2735.952,6,0.2,341.994
995,CA-2014-117639,5/21/2014,5/25/2014,Standard Class,MW-18235,Mitch Willingham,Corporate,United States,Virginia Beach,Virginia,23464,South,OFF-BI-10003925,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,2715.93,7,0.0,1276.4871
2849,CA-2017-157854,4/8/2017,4/15/2017,Standard Class,DM-13345,Denise Monton,Corporate,United States,Roswell,Georgia,30076,South,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,2690.97,3,0.0,1264.7559
8469,US-2016-164196,11/11/2016,11/17/2016,Standard Class,AS-10285,Alejandro Savely,Corporate,United States,Noblesville,Indiana,46060,Central,FUR-TA-10001950,Furniture,Tables,Balt Solid Wood Round Tables,2678.94,6,0.0,241.1046
8893,CA-2015-111038,12/1/2015,12/6/2015,Standard Class,LC-16960,Lindsay Castell,Home Office,United States,San Diego,California,92037,West,FUR-CH-10003973,Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,2676.672,9,0.2,267.6672
2568,CA-2017-123967,11/1/2017,11/3/2017,Second Class,SF-20200,Sarah Foster,Consumer,United States,Bellingham,Washington,98226,West,FUR-TA-10003954,Furniture,Tables,Hon 94000 Series Round Tables,2665.62,9,0.0,239.9058
7580,CA-2015-123113,11/23/2015,11/27/2015,Second Class,AT-10735,Annie Thurman,Consumer,United States,Morristown,New Jersey,7960,East,OFF-AP-10000275,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",2625.12,8,0.0,735.0336
4129,CA-2014-127299,9/19/2014,9/24/2014,Standard Class,JL-15835,John Lee,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",2624.985,3,0.5,-944.9946
9057,CA-2015-160227,11/2/2015,11/4/2015,First Class,ED-13885,Emily Ducich,Home Office,United States,New York City,New York,10011,East,FUR-CH-10002073,Furniture,Chairs,Hon Olson Stacker Chairs,2621.322,11,0.1,553.3902
3987,CA-2017-112333,4/8/2017,4/14/2017,Standard Class,KF-16285,Karen Ferguson,Home Office,United States,Plainfield,New Jersey,7060,East,OFF-ST-10001780,Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,2591.56,4,0.0,621.9744
1806,US-2016-116729,12/25/2016,12/28/2016,First Class,GK-14620,Grace Kelly,Corporate,United States,Los Angeles,California,90049,West,TEC-PH-10002200,Technology,Phones,Samsung Galaxy Note 2,2575.944,7,0.2,257.5944
7475,CA-2014-167199,1/6/2014,1/10/2014,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,0.0,746.4078
6885,CA-2015-120677,5/31/2015,6/4/2015,Standard Class,BD-11320,Bill Donatelli,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs,2567.84,8,0.0,770.352
8272,CA-2016-169670,12/25/2016,12/31/2016,Standard Class,JE-15715,Joe Elijah,Consumer,United States,New York City,New York,10009,East,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,2563.056,8,0.1,313.2624
3012,CA-2017-134845,4/17/2017,4/23/2017,Standard Class,SR-20425,Sharelle Roach,Home Office,United States,Louisville,Colorado,80027,West,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,2549.985,5,0.7,-3399.98
6011,CA-2015-135580,12/30/2015,1/3/2016,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Los Angeles,California,90049,West,TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2548.56,6,0.2,286.713
7281,CA-2015-162782,2/21/2015,2/27/2015,Standard Class,PW-19240,Pierre Wener,Consumer,United States,Columbia,Maryland,21044,East,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2541.98,2,0.0,1270.99
264,US-2014-106992,9/19/2014,9/21/2014,Second Class,SB-20290,Sean Braxton,Corporate,United States,Houston,Texas,77036,Central,TEC-MA-10003353,Technology,Machines,Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958,7,0.4,-251.9958
7938,CA-2017-166093,8/17/2017,8/24/2017,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Brentwood,California,94513,West,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,2518.29,9,0.0,654.7554
3444,CA-2017-168858,11/19/2017,11/23/2017,Standard Class,JD-16150,Justin Deggeller,Corporate,United States,New York City,New York,10011,East,OFF-AP-10003849,Office Supplies,Appliances,Hoover Shoulder Vac Commercial Portable Vacuum,2504.74,7,0.0,626.185
