customer_id,customer_name,order_id,product_name,sales
SM-20320,Sean Miller,CA-2014-145317,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48
TC-20980,Tamara Chand,CA-2016-118689,Canon imageCLASS 2200 Advanced Copier,17499.95
RB-19360,Raymond Buch,CA-2017-140151,Canon imageCLASS 2200 Advanced Copier,13999.96
TA-21385,Tom Ashbrook,CA-2017-127180,Canon imageCLASS 2200 Advanced Copier,11199.968
HL-15040,Hunter Lopez,CA-2017-166709,Canon imageCLASS 2200 Advanced Copier,10499.97
AB-10105,Adrian Barton,CA-2016-117121,GBC Ibimaster 500 Manual ProClick Binding System,9892.74
SC-20095,Sanjit Chand,CA-2014-116904,Ibico EPK-21 Electric Binding System,9449.95
BS-11365,Bill Shonely,US-2016-107440,"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93
SE-20110,Sanjit Engle,CA-2016-158841,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",8749.95
CC-12370,Christopher Conant,CA-2016-143714,Canon imageCLASS 2200 Advanced Copier,8399.976
KL-16645,Ken Lonsdale,CA-2014-143917,High Speed Automatic Electric Letter Opener,8187.65
BM-11140,Becky Martin,CA-2014-139892,Lexmark MX611dhe Monochrome Laser Printer,8159.952
GT-14635,Grant Thornton,US-2017-168116,Cubify CubeX 3D Printer Triple Head Print,7999.98
TB-21400,Tom Boeckenhauer,CA-2014-145541,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",6999.96
CM-12385,Christopher Martinez,CA-2015-145352,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354.95
AR-10540,Andy Reiter,CA-2017-138289,GBC DocuBind P400 Electric Binding System,5443.96
DR-12940,Daniel Raglin,US-2016-140158,Hewlett Packard LaserJet 3310 Copier,5399.91
TS-21370,Todd Sumrall,CA-2017-143112,"3D Systems Cube Printer, 2nd Generation, Magenta",5199.96
JW-15220,Jane Waco,CA-2017-135909,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,5083.96
EH-13765,Edward Hooks,CA-2016-136301,High Speed Automatic Electric Letter Opener,4912.59
KD-16270,Karen Daniels,US-2016-143819,Ativa V4110MDD Micro-Cut Shredder,4899.93
HM-14860,Harry Marie,US-2015-128587,Canon PC1060 Personal Laser Copier,4899.93
NC-18535,Nick Crebassa,CA-2017-149881,Cubify CubeX 3D Printer Double Head Print,4799.984
JA-15970,Joseph Airdo,CA-2017-158379,Martin Yale Chadless Opener Electric Letter Opener,4663.736
KD-16495,Keith Dawkins,CA-2015-114811,Zebra ZM400 Thermal Label Printer,4643.8
JM-15865,John Murray,CA-2014-144624,Apple iPhone 5,4548.81
DP-13390,Dennis Pardue,CA-2016-138478,Ibico EPK-21 Electric Binding System,4535.976
CS-12505,Cindy Stewart,CA-2016-108196,Cubify CubeX 3D Printer Double Head Print,4499.985
MJ-17740,Max Jones,CA-2016-100300,Okidata MB760 Printer,4476.8
TP-21415,Tom Prescott,CA-2017-118892,HON 5400 Series Task Chairs for Big and Tall,4416.174
QJ-19255,Quincy Jones,CA-2015-117086,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4404.9
PO-18850,Patrick O'Brill,CA-2017-129021,Samsung Galaxy Mega 6.3,4367.896
AB-10060,Adam Bellavance,CA-2016-129714,GBC DocuBind P400 Electric Binding System,4355.168
PK-19075,Pete Kriz,US-2017-102183,GBC DocuBind TL300 Electric Binding System,4305.552
JH-15985,Joseph Holt,CA-2015-116638,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4297.644
PF-19120,Peter Fuller,US-2015-126977,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4228.704
GM-14695,Greg Maxwell,CA-2014-102988,Martin Yale Chadless Opener Electric Letter Opener,4164.05
CP-12085,Cathy Prescott,US-2017-167402,Martin Yale Chadless Opener Electric Letter Opener,4164.05
KF-16285,Karen Ferguson,CA-2016-159016,Apple iPhone 5,4158.912
GT-14710,Greg Tran,CA-2014-128209,DMI Eclipse Executive Suite Bookcases,4007.84
CJ-12010,Caroline Jumper,CA-2016-128818,Bady BDG101FRU Card Printer,3999.95
NM-18445,Nathan Mautz,CA-2014-164973,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98
AA-10315,Alex Avila,CA-2016-103982,High Speed Automatic Electric Letter Opener,3930.072
SD-20485,Shirley Daniels,CA-2015-120782,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,3812.97
LW-17215,Luke Weiss,CA-2014-116246,HON 5400 Series Task Chairs for Big and Tall,3785.292
NP-18700,Nora Preis,CA-2014-168494,Bretford Rectangular Conference Table Tops,3610.848
LA-16780,Laura Armstrong,CA-2016-122903,HON 5400 Series Task Chairs for Big and Tall,3504.9
KH-16690,Kristen Hastings,CA-2014-163223,Samsung Galaxy S4 Active,3499.93
MS-17365,Maribeth Schnelling,CA-2016-107104,DMI Eclipse Executive Suite Bookcases,3406.664
SR-20740,Steven Roelle,CA-2017-165323,Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5
EB-13840,Ellis Ballard,CA-2015-164301,Bush Advantage Collection Racetrack Conference Table,3393.68
PS-19045,Penelope Sewall,CA-2017-133865,Canon Imageclass D680 Copier / Fax,3359.952
RH-19510,Rick Huthwaite,CA-2016-169663,Okidata MB760 Printer,3357.6
KC-16540,Kelly Collister,CA-2016-145625,Logitech P710e Mobile Speakerphone,3347.37
