customer_id,customer_name,total_sales,sales_rank
SM-20320,Sean Miller,25043.05,1
TC-20980,Tamara Chand,19052.217999999997,2
RB-19360,Raymond Buch,15117.339,3
TA-21385,Tom Ashbrook,14595.62,4
AB-10105,Adrian Barton,14473.570999999998,5
KL-16645,Ken Lonsdale,14175.229,6
SC-20095,Sanjit Chand,14142.333999999999,7
HL-15040,Hunter Lopez,12873.297999999999,8
SE-20110,Sanjit Engle,12209.438000000002,9
CC-12370,Christopher Conant,12129.072,10
TS-21370,Todd Sumrall,11891.751,11
GT-14710,Greg Tran,11820.119999999997,12
BM-11140,Becky Martin,11789.630000000003,13
SV-20365,Seth Vernon,11470.949999999997,14
CJ-12010,Caroline Jumper,11164.974,15
CL-12565,Clay Ludtke,10880.545999999998,16
ME-17320,Maria Etezadi,10663.727999999997,17
KF-16285,Karen Ferguson,10604.266,18
BS-11365,Bill Shonely,10501.652999999998,19
EH-13765,Edward Hooks,10310.880000000001,20
JL-15835,John Lee,9799.923,21
GT-14635,Grant Thornton,9351.211999999998,22
HW-14935,Helen Wasserman,9300.253999999997,23
TB-21400,Tom Boeckenhauer,9133.99,24
PF-19120,Peter Fuller,9062.863999999998,25
CM-12385,Christopher Martinez,8954.02,26
JD-16150,Justin Deggeller,8828.030499999999,27
JE-15715,Joe Elijah,8697.843,28
LA-16780,Laura Armstrong,8673.221999999998,29
PK-19075,Pete Kriz,8646.933999999997,30
DR-12940,Daniel Raglin,8350.868,31
NF-18385,Natalie Fritzler,8322.826000000001,32
KD-16270,Karen Daniels,8282.358,33
NC-18535,Nick Crebassa,8241.739,34
HM-14860,Harry Marie,8236.7648,35
KD-16495,Keith Dawkins,8181.256,36
SB-20290,Sean Braxton,8057.890999999999,37
ZC-21910,Zuschuss Carroll,8025.707000000001,38
JH-15985,Joseph Holt,7954.998,39
NP-18700,Nora Preis,7903.182500000001,40
AH-10690,Anna Häberlin,7888.294000000001,41
AB-10060,Adam Bellavance,7755.619999999999,42
JE-15610,Jim Epp,7754.976,43
JW-15220,Jane Waco,7721.714,44
LC-16885,Lena Creighton,7663.125999999999,45
JM-15865,John Murray,7625.076000000002,46
JD-15895,Jonathan Doherty,7610.864,47
PO-18850,Patrick O'Brill,7473.828200000001,48
MS-17365,Maribeth Schnelling,7443.6900000000005,49
RW-19540,Rick Wilson,7397.401000000001,50
BM-11650,Brian Moss,7294.185,51
PP-18955,Paul Prost,7252.608000000002,52
NW-18400,Natalie Webber,7234.013999999999,53
Dp-13240,Dean percer,7198.760999999999,54
FH-14365,Fred Hopkins,6987.195999999999,55
RH-19510,Rick Huthwaite,6979.18,56
PS-19045,Penelope Sewall,6843.633999999999,57
BB-11545,Brenda Bowman,6765.727999999999,58
JE-15745,Joel Eaton,6760.814999999999,59
YS-21880,Yana Sorensen,6720.443999999999,60
AR-10540,Andy Reiter,6608.448,61
DR-12880,Dan Reichenbach,6528.033999999999,62
GK-14620,Grace Kelly,6497.27,63
JA-15970,Joseph Airdo,6491.026000000001,64
NM-18445,Nathan Mautz,6459.343999999999,65
VD-21670,Valerie Dominguez,6442.254000000001,66
SB-20185,Sarah Brown,6410.995999999999,67
JG-15160,James Galang,6366.391999999999,68
DM-13015,Darrin Martin,6345.103,69
CM-12655,Corinna Mitchell,6339.5576,70
MJ-17740,Max Jones,6320.746,71
BH-11710,Brosina Hoffman,6255.351000000001,72
RL-19615,Rob Lucas,6234.909999999999,73
WB-21850,William Brown,6160.102,74
VW-21775,Victoria Wilson,6134.0380000000005,75
SD-20485,Shirley Daniels,6121.114,76
QJ-19255,Quincy Jones,6108.338,77
AD-10180,Alan Dominguez,6106.879999999999,78
CB-12025,Cassandra Brandow,6076.138999999999,79
GM-14695,Greg Maxwell,6049.966000000002,80
SC-20380,Shahid Collister,5992.535999999999,81
KH-16690,Kristen Hastings,5990.798999999999,82
RM-19675,Robert Marley,5979.0960000000005,83
KH-16510,Keith Herrera,5952.859000000002,84
BF-11170,Ben Ferrer,5907.972,85
CP-12340,Christine Phan,5888.275000000001,86
BD-11320,Bill Donatelli,5718.521000000001,87
CS-12505,Cindy Stewart,5690.054999999999,88
AM-10705,Anne McFarland,5664.022,89
RB-19795,Ross Baird,5633.315999999999,90
KM-16375,Katherine Murray,5620.186,91
AA-10315,Alex Avila,5563.56,92
SM-20950,Suzanne McNair,5563.392,93
NP-18325,Naresj Patel,5529.62,94
AC-10450,Amy Cox,5527.8460000000005,95
MH-18115,Mick Hernandez,5503.092999999999,96
DP-13390,Dennis Pardue,5480.723999999999,97
EP-13915,Emily Phan,5478.0608,98
YC-21895,Yoseph Carroll,5454.35,99
SP-20620,Stefania Perrino,5440.319,100
LW-17215,Luke Weiss,5420.513999999999,101
CP-12085,Cathy Prescott,5402.253999999999,102
TS-21205,Thomas Seio,5371.09,103
TT-21460,Tonja Turnell,5364.808000000001,104
MW-18220,Mitch Webber,5341.9,105
TP-21415,Tom Prescott,5329.0048,106
TW-21025,Tamara Willingham,5278.825999999999,107
DW-13480,Dianna Wilson,5271.628,108
MW-18235,Mitch Willingham,5253.876,109
HR-14830,Harold Ryan,5248.786999999999,110
SC-20725,Steven Cartwright,5226.209999999998,111
RP-19390,Resi Pölking,5153.084,112
LR-16915,Lena Radford,5142.891999999999,113
MP-18175,Mike Pelletier,5087.92,114
AA-10645,Anna Andreadi,5086.935000000001,115
IL-15100,Ivan Liston,5040.736,116
KL-16555,Kelly Lampkin,5016.488000000001,117
LB-16795,Laurel Beltran,4985.676,118
DH-13075,Dave Hallsten,4932.871999999999,119
IM-15070,Irene Maddox,4930.473999999999,120
TT-21070,Ted Trevino,4915.602,121
KM-16720,Kunst Miller,4909.472000000001,122
PO-19180,Philisse Overcash,4893.043000000001,123
HK-14890,Heather Kirkland,4877.784,124
AJ-10780,Anthony Jacobs,4867.344,125
JK-15730,Joe Kamberova,4867.200000000001,126
AH-10210,Alan Hwang,4805.344,127
DK-13225,Dean Katz,4802.393999999999,128
RA-19915,Russell Applegate,4793.543000000001,129
SA-20830,Sue Ann Reed,4767.3415,130
JK-15640,Jim Kriz,4760.434000000001,131
BW-11110,Bart Watters,4750.357999999999,132
TB-21520,Tracy Blumstein,4737.486,133
GB-14575,Giulietta Baptist,4716.2880000000005,134
RB-19465,Rick Bensley,4715.466000000001,135
ES-14080,Erin Smith,4657.924,136
DB-13270,Deborah Brumfield,4655.897,137
KT-16480,Kean Thornton,4642.088400000001,138
SC-20050,Sample Company A,4624.572000000001,139
EM-14140,Eugene Moren,4588.436,140
DB-13060,Dave Brooks,4531.646000000002,141
AR-10825,Anthony Rawles,4523.335999999999,142
AG-10900,Arthur Gainer,4510.7970000000005,143
AJ-10795,Anthony Johnson,4501.391,144
LC-16930,Linda Cazamias,4492.946,145
SC-20770,Stewart Carmichael,4492.656999999999,146
TP-21130,Theone Pippenger,4454.056,147
MC-17425,Mark Cousins,4432.138,148
JK-15205,Jamie Kunitz,4427.142000000001,149
KW-16435,Katrina Willman,4416.52,150
BD-11500,Bradley Drucker,4411.243,151
AI-10855,Arianne Irving,4375.785999999999,152
SC-20230,Scot Coram,4371.9580000000005,153
EB-13840,Ellis Ballard,4358.128,154
GZ-14470,Gary Zandusky,4355.15,155
SR-20740,Steven Roelle,4345.8859999999995,156
ND-18370,Natalie DeCherney,4326.139,157
MA-17560,Matt Abelman,4299.160999999999,158
SP-20860,Sung Pak,4282.94,159
DK-12895,Dana Kaydos,4282.175999999999,160
RD-19480,Rick Duston,4272.93,161
TC-21295,Toby Carlisle,4266.812,162
AS-10225,Alan Schoenberger,4260.784000000001,163
FH-14275,Frank Hawley,4256.272,164
CB-12535,Claudia Bergmann,4246.4555,165
TH-21550,Tracy Hopkins,4234.0960000000005,166
BE-11335,Bill Eplett,4204.6759999999995,167
JF-15565,Jill Fjeld,4198.332,168
GH-14425,Gary Hwang,4172.8460000000005,169
RS-19765,Roland Schwarz,4159.769999999999,170
MY-18295,Muhammed Yedwab,4152.696000000001,171
PM-19135,Peter McVee,4115.662,172
SV-20785,Stewart Visinsky,4105.305,173
DM-13345,Denise Monton,4074.4720000000007,174
FP-14320,Frank Preis,4046.7460000000005,175
SP-20920,Susan Pistek,3990.6890000000003,176
CM-12715,Craig Molinari,3984.4524,177
MP-17965,Michael Paige,3983.6420000000003,178
SC-20305,Sean Christensen,3979.0649999999996,179
SJ-20125,Sanjit Jacobs,3949.6559999999995,180
LF-17185,Luke Foster,3930.509,181
PW-19240,Pierre Wener,3922.4149999999995,182
GA-14515,George Ashbrook,3919.7760000000003,183
KH-16630,Ken Heidel,3918.966,184
CC-12220,Chris Cortes,3913.418,185
DB-13555,Dorothy Badders,3908.8028,186
NP-18670,Nora Paige,3908.402,187
KC-16540,Kelly Collister,3908.2619999999997,188
FC-14335,Fred Chung,3889.3659999999995,189
BS-11380,Bill Stewart,3887.834,190
JS-15880,John Stevenson,3868.02,191
RA-19885,Ruben Ausman,3832.3139999999994,192
AT-10735,Annie Thurman,3831.8640000000005,193
OT-18730,Olvera Toch,3818.6240000000003,194
RO-19780,Rose O'Brian,3815.478,195
MC-17845,Michael Chen,3805.714000000001,196
MM-17920,Michael Moore,3794.08,197
CA-11965,Carol Adams,3789.7228,198
MG-17650,Matthew Grinstein,3785.276,199
MD-17350,Maribeth Dona,3766.382,200
JK-15625,Jim Karlsson,3760.028,201
JK-16090,Juliana Krohn,3747.6680000000006,202
FM-14290,Frank Merwin,3736.1979999999994,203
SC-20260,Scott Cohen,3729.7929999999997,204
HG-15025,Hunter Glantz,3690.284,205
BP-11185,Ben Peterman,3675.861,206
LP-17095,Liz Preis,3653.3990000000003,207
CS-12400,Christopher Schild,3651.8585000000007,208
EB-13705,Ed Braxton,3644.9780000000005,209
JP-15520,Jeremy Pistek,3635.5940000000005,210
SZ-20035,Sam Zeldin,3625.3289999999997,211
RH-19495,Rick Hansen,3621.3759999999997,212
TB-21175,Thomas Boland,3589.296,213
GM-14440,Gary McGarr,3582.8199999999997,214
DL-13495,Dionis Lloyd,3539.322,215
ES-14020,Erica Smith,3510.4579999999996,216
RW-19690,Robert Waldorf,3495.646,217
AG-10675,Anna Gayman,3489.0395999999996,218
ED-13885,Emily Ducich,3484.92,219
PW-19030,Pauline Webber,3454.916,220
SF-20200,Sarah Foster,3422.785999999999,221
FC-14245,Frank Carlisle,3418.742,222
SH-19975,Sally Hughsby,3406.8394999999996,223
SG-20080,Sandra Glassco,3406.581,224
TS-21655,Trudy Schmidt,3368.093999999999,225
SC-20020,Sam Craven,3362.9635999999996,226
VP-21760,Victoria Pisteka,3360.526,227
DJ-13630,Doug Jacobs,3356.3979999999997,228
DV-13465,Dianna Vittorini,3341.5870000000004,229
SF-20965,Sylvia Foulston,3336.535,230
DC-12850,Dan Campbell,3336.1680000000006,231
AP-10915,Arthur Prichep,3323.556,232
DK-13375,Dennis Kane,3318.4859999999994,233
KH-16330,Katharine Harms,3312.864,234
RF-19345,Randy Ferguson,3309.1500000000005,235
RR-19525,Rick Reed,3302.262,236
BD-11605,Brian Dahlen,3288.471,237
BS-11665,Brian Stugart,3288.11,238
RW-19630,Rob Williams,3279.7459999999996,239
DL-12925,Daniel Lacy,3272.2000000000003,240
DK-12835,Damala Kotsonis,3256.4800000000005,241
AS-10090,Adam Shillingsburg,3255.3099999999995,242
JO-15145,Jack O'Briant,3254.9490000000005,243
AH-10075,Adam Hart,3250.336999999999,244
HG-14965,Henry Goldwyn,3247.6419999999994,245
LC-16960,Lindsay Castell,3246.626,246
CT-11995,Carol Triggs,3241.898000000001,247
EB-13750,Edward Becker,3236.3139999999994,248
SR-20425,Sharelle Roach,3233.481,249
LW-16990,Lindsay Williams,3230.308,250
RS-19420,Ricardo Sperren,3221.29,251
AS-10285,Alejandro Savely,3214.236,252
MP-17470,Mark Packer,3206.132,253
CS-12355,Christine Sundaresam,3202.1620000000003,254
