customer_id,customer_name,order_id,order_date,sales,order_row_number
AA-10315,Alex Avila,CA-2016-103982,3/3/2016,3930.072,1
AA-10315,Alex Avila,CA-2014-128055,3/31/2014,673.568,2
AA-10315,Alex Avila,CA-2016-103982,3/3/2016,431.976,3
AA-10315,Alex Avila,CA-2017-147039,6/29/2017,362.94,4
AA-10315,Alex Avila,CA-2014-128055,3/31/2014,52.98,5
AA-10315,Alex Avila,CA-2016-103982,3/3/2016,41.72,6
AA-10315,Alex Avila,CA-2015-121391,10/4/2015,26.96,7
AA-10315,Alex Avila,CA-2014-138100,9/15/2014,14.94,8
AA-10315,Alex Avila,CA-2014-138100,9/15/2014,14.56,9
AA-10315,Alex Avila,CA-2017-147039,6/29/2017,11.54,10
AA-10315,Alex Avila,CA-2016-103982,3/3/2016,2.304,11
AA-10375,Allen Armold,CA-2016-131065,11/14/2016,499.98,1
AA-10375,Allen Armold,CA-2015-140921,2/3/2015,149.97,2
AA-10375,Allen Armold,CA-2017-100230,12/11/2017,116.98,3
AA-10375,Allen Armold,CA-2015-114503,11/13/2015,84.96,4
AA-10375,Allen Armold,US-2017-169488,9/7/2017,39.96,5
AA-10375,Allen Armold,CA-2014-130729,10/24/2014,34.272,6
AA-10375,Allen Armold,CA-2015-140921,2/3/2015,28.4,7
AA-10375,Allen Armold,CA-2017-100230,12/11/2017,17.94,8
AA-10375,Allen Armold,US-2017-169488,9/7/2017,16.9,9
AA-10375,Allen Armold,CA-2016-126613,7/10/2016,16.768,10
AA-10375,Allen Armold,CA-2014-158064,4/21/2014,16.52,11
AA-10375,Allen Armold,CA-2017-100230,12/11/2017,14.952,12
AA-10375,Allen Armold,CA-2016-131065,11/14/2016,8.26,13
AA-10375,Allen Armold,CA-2016-131065,11/14/2016,5.28,14
AA-10375,Allen Armold,CA-2015-109939,5/8/2015,5.248,15
AA-10480,Andrew Allen,CA-2016-114601,8/26/2016,479.97,1
AA-10480,Andrew Allen,CA-2016-114601,8/26/2016,447.84,2
AA-10480,Andrew Allen,CA-2016-121671,7/17/2016,265.17,3
AA-10480,Andrew Allen,CA-2016-121671,7/17/2016,242.94,4
AA-10480,Andrew Allen,CA-2016-114601,8/26/2016,209.97,5
AA-10480,Andrew Allen,CA-2016-121671,7/17/2016,51.84,6
AA-10480,Andrew Allen,CA-2014-155271,5/4/2014,27.46,7
AA-10480,Andrew Allen,CA-2016-121671,7/17/2016,21.93,8
AA-10480,Andrew Allen,CA-2017-114412,4/15/2017,15.552,9
AA-10480,Andrew Allen,CA-2016-114601,8/26/2016,11.56,10
AA-10480,Andrew Allen,CA-2016-114601,8/26/2016,8.64,11
AA-10480,Andrew Allen,CA-2016-121671,7/17/2016,7.64,12
AA-10645,Anna Andreadi,CA-2015-110863,11/17/2015,1323.9,1
AA-10645,Anna Andreadi,CA-2016-147137,7/4/2016,1279.165,2
AA-10645,Anna Andreadi,CA-2014-154963,6/22/2014,853.93,3
AA-10645,Anna Andreadi,CA-2015-110863,11/17/2015,541.24,4
AA-10645,Anna Andreadi,CA-2014-143210,12/1/2014,271.9,5
AA-10645,Anna Andreadi,CA-2014-154963,6/22/2014,170.058,6
AA-10645,Anna Andreadi,CA-2016-131205,9/4/2016,129.92,7
AA-10645,Anna Andreadi,CA-2016-131205,9/4/2016,113.94,8
AA-10645,Anna Andreadi,CA-2015-110863,11/17/2015,106.32,9
AA-10645,Anna Andreadi,CA-2014-154963,6/22/2014,82.782,10
AA-10645,Anna Andreadi,CA-2014-143210,12/1/2014,45.84,11
AA-10645,Anna Andreadi,CA-2016-147137,7/4/2016,43.96,12
AA-10645,Anna Andreadi,CA-2016-131205,9/4/2016,42.6,13
AA-10645,Anna Andreadi,CA-2016-147137,7/4/2016,27.92,14
AA-10645,Anna Andreadi,CA-2016-147137,7/4/2016,25.4,15
AA-10645,Anna Andreadi,CA-2017-157196,11/5/2017,12.96,16
AA-10645,Anna Andreadi,CA-2014-143210,12/1/2014,9.82,17
AA-10645,Anna Andreadi,CA-2016-131205,9/4/2016,5.28,18
AB-10015,Aaron Bergman,CA-2016-140935,11/10/2016,341.96,1
AB-10015,Aaron Bergman,CA-2014-156587,3/7/2014,242.94,2
AB-10015,Aaron Bergman,CA-2016-140935,11/10/2016,221.98,3
AB-10015,Aaron Bergman,CA-2014-156587,3/7/2014,48.712,4
AB-10015,Aaron Bergman,CA-2014-156587,3/7/2014,17.94,5
AB-10015,Aaron Bergman,CA-2014-152905,2/18/2014,12.624,6
AB-10060,Adam Bellavance,CA-2016-129714,9/1/2016,4355.168,1
AB-10060,Adam Bellavance,CA-2017-107174,11/6/2017,2036.86,2
AB-10060,Adam Bellavance,CA-2017-107174,11/6/2017,449.568,3
AB-10060,Adam Bellavance,CA-2017-118213,11/5/2017,167.94,4
AB-10060,Adam Bellavance,US-2016-108637,3/13/2016,160.32,5
AB-10060,Adam Bellavance,US-2016-108637,3/13/2016,127.88,6
AB-10060,Adam Bellavance,CA-2017-107174,11/6/2017,108.96,7
AB-10060,Adam Bellavance,CA-2017-159688,5/7/2017,79.99,8
AB-10060,Adam Bellavance,CA-2017-118213,11/5/2017,67.8,9
AB-10060,Adam Bellavance,CA-2016-129714,9/1/2016,49.12,10
AB-10060,Adam Bellavance,US-2016-108637,3/13/2016,46.0,11
AB-10060,Adam Bellavance,CA-2016-161207,8/29/2016,27.93,12
AB-10060,Adam Bellavance,CA-2016-129714,9/1/2016,24.56,13
AB-10060,Adam Bellavance,CA-2017-134173,9/16/2017,20.736,14
AB-10060,Adam Bellavance,CA-2015-150511,9/18/2015,18.54,15
AB-10060,Adam Bellavance,CA-2016-129714,9/1/2016,6.79,16
AB-10060,Adam Bellavance,CA-2017-118213,11/5/2017,4.41,17
AB-10060,Adam Bellavance,CA-2016-129714,9/1/2016,3.048,18
AB-10105,Adrian Barton,CA-2016-117121,12/17/2016,9892.74,1
AB-10105,Adrian Barton,CA-2014-103100,12/20/2014,1103.97,2
AB-10105,Adrian Barton,CA-2017-101042,11/19/2017,821.88,3
AB-10105,Adrian Barton,CA-2017-153822,9/19/2017,471.92,4
AB-10105,Adrian Barton,CA-2017-126788,6/5/2017,470.376,5
AB-10105,Adrian Barton,US-2016-122245,9/25/2016,393.165,6
AB-10105,Adrian Barton,CA-2017-121643,5/18/2017,344.704,7
AB-10105,Adrian Barton,CA-2015-163181,11/7/2015,287.91,8
AB-10105,Adrian Barton,CA-2015-163181,11/7/2015,177.648,9
AB-10105,Adrian Barton,CA-2016-147431,2/2/2016,117.96,10
AB-10105,Adrian Barton,CA-2017-153822,9/19/2017,89.584,11
AB-10105,Adrian Barton,CA-2015-163181,11/7/2015,84.784,12
AB-10105,Adrian Barton,CA-2015-163181,11/7/2015,64.96,13
AB-10105,Adrian Barton,CA-2017-140781,8/3/2017,39.816,14
AB-10105,Adrian Barton,CA-2015-163181,11/7/2015,32.06,15
AB-10105,Adrian Barton,CA-2015-163181,11/7/2015,23.64,16
AB-10105,Adrian Barton,CA-2017-101042,11/19/2017,21.96,17
AB-10105,Adrian Barton,CA-2017-153822,9/19/2017,18.18,18
AB-10105,Adrian Barton,CA-2017-153822,9/19/2017,12.624,19
AB-10105,Adrian Barton,CA-2014-103100,12/20/2014,3.69,20
AB-10150,Aimee Bixby,CA-2014-169061,3/5/2014,479.97,1
AB-10150,Aimee Bixby,CA-2017-158876,11/19/2017,99.136,2
AB-10150,Aimee Bixby,CA-2014-169061,3/5/2014,97.82,3
AB-10150,Aimee Bixby,CA-2017-120761,9/4/2017,91.96,4
AB-10150,Aimee Bixby,CA-2014-169061,3/5/2014,59.52,5
AB-10150,Aimee Bixby,CA-2014-169061,3/5/2014,49.632,6
AB-10150,Aimee Bixby,CA-2014-169061,3/5/2014,18.62,7
AB-10150,Aimee Bixby,CA-2017-158876,11/19/2017,16.896,8
AB-10150,Aimee Bixby,CA-2017-158876,11/19/2017,15.992,9
AB-10150,Aimee Bixby,CA-2016-147970,1/31/2016,15.552,10
AB-10150,Aimee Bixby,CA-2015-168186,9/10/2015,14.94,11
AB-10150,Aimee Bixby,CA-2017-158876,11/19/2017,6.672,12
AB-10165,Alan Barnes,CA-2015-115945,6/25/2015,304.23,1
AB-10165,Alan Barnes,CA-2015-131534,3/28/2015,166.24,2
AB-10165,Alan Barnes,CA-2017-145737,9/15/2017,163.96,3
AB-10165,Alan Barnes,CA-2017-126634,3/30/2017,94.2,4
AB-10165,Alan Barnes,CA-2017-144932,4/14/2017,89.856,5
AB-10165,Alan Barnes,CA-2015-115945,6/25/2015,88.752,6
AB-10165,Alan Barnes,CA-2015-144043,5/10/2015,46.688,7
AB-10165,Alan Barnes,US-2014-139500,11/16/2014,37.296,8
AB-10165,Alan Barnes,CA-2015-131534,3/28/2015,33.4,9
AB-10165,Alan Barnes,CA-2017-131212,12/5/2017,24.816,10
AB-10165,Alan Barnes,CA-2015-115945,6/25/2015,20.96,11
AB-10165,Alan Barnes,CA-2017-131212,12/5/2017,14.976,12
AB-10165,Alan Barnes,CA-2017-144932,4/14/2017,14.592,13
AB-10165,Alan Barnes,CA-2017-144932,4/14/2017,13.872,14
AB-10255,Alejandro Ballentine,CA-2017-126662,7/17/2017,479.984,1
AB-10255,Alejandro Ballentine,CA-2017-155873,6/16/2017,192.16,2
AB-10255,Alejandro Ballentine,CA-2015-142055,5/8/2015,37.94,3
AB-10255,Alejandro Ballentine,CA-2015-110093,12/3/2015,36.784,4
AB-10255,Alejandro Ballentine,CA-2017-127705,6/2/2017,27.44,5
AB-10255,Alejandro Ballentine,CA-2014-122679,7/22/2014,19.68,6
AB-10255,Alejandro Ballentine,CA-2017-155873,6/16/2017,19.44,7
AB-10255,Alejandro Ballentine,CA-2016-151155,12/20/2016,18.92,8
AB-10255,Alejandro Ballentine,CA-2016-151323,10/23/2016,17.05,9
AB-10255,Alejandro Ballentine,CA-2017-155873,6/16/2017,16.68,10
AB-10255,Alejandro Ballentine,CA-2015-110093,12/3/2015,16.448,11
AB-10255,Alejandro Ballentine,CA-2016-151155,12/20/2016,15.42,12
AB-10255,Alejandro Ballentine,US-2016-158708,6/26/2016,13.616,13
AB-10255,Alejandro Ballentine,CA-2017-127705,6/2/2017,2.97,14
AB-10600,Ann Blume,US-2017-155425,11/10/2017,899.136,1
AB-10600,Ann Blume,US-2017-155425,11/10/2017,239.952,2
AB-10600,Ann Blume,US-2017-155425,11/10/2017,201.584,3
AB-10600,Ann Blume,US-2017-155425,11/10/2017,95.994,4
AB-10600,Ann Blume,US-2017-155425,11/10/2017,38.388,5
AB-10600,Ann Blume,CA-2015-158323,11/30/2015,17.088,6
AB-10600,Ann Blume,CA-2014-115336,11/18/2014,14.48,7
AB-10600,Ann Blume,CA-2015-111234,2/18/2015,9.24,8
AC-10420,Alyssa Crouse,CA-2014-129924,7/12/2014,698.352,1
AC-10420,Alyssa Crouse,US-2017-158218,5/12/2017,127.92,2
AC-10420,Alyssa Crouse,CA-2016-144400,2/23/2016,57.576,3
AC-10420,Alyssa Crouse,US-2017-158218,5/12/2017,34.24,4
