customer_id,customer_name,highest_order_value
SM-20320,Sean Miller,22638.48
TC-20980,Tamara Chand,17499.95
RB-19360,Raymond Buch,13999.96
TA-21385,Tom Ashbrook,11199.968
HL-15040,Hunter Lopez,10499.97
AB-10105,Adrian Barton,9892.74
SC-20095,Sanjit Chand,9449.95
BS-11365,Bill Shonely,9099.93
SE-20110,Sanjit Engle,8749.95
CC-12370,Christopher Conant,8399.976
KL-16645,Ken Lonsdale,8187.65
BM-11140,Becky Martin,8159.952
GT-14635,Grant Thornton,7999.98
TB-21400,Tom Boeckenhauer,6999.96
CM-12385,Christopher Martinez,6354.95
AR-10540,Andy Reiter,5443.96
DR-12940,Daniel Raglin,5399.91
TS-21370,Todd Sumrall,5199.96
JW-15220,Jane Waco,5083.96
EH-13765,Edward Hooks,4912.59
HM-14860,Harry Marie,4899.93
KD-16270,Karen Daniels,4899.93
NC-18535,Nick Crebassa,4799.984
JA-15970,Joseph Airdo,4663.736
KD-16495,Keith Dawkins,4643.8
JM-15865,John Murray,4548.81
DP-13390,Dennis Pardue,4535.976
CS-12505,Cindy Stewart,4499.985
MJ-17740,Max Jones,4476.8
TP-21415,Tom Prescott,4416.174
QJ-19255,Quincy Jones,4404.9
PO-18850,Patrick O'Brill,4367.896
AB-10060,Adam Bellavance,4355.168
PK-19075,Pete Kriz,4305.552
JH-15985,Joseph Holt,4297.644
PF-19120,Peter Fuller,4228.704
CP-12085,Cathy Prescott,4164.05
GM-14695,Greg Maxwell,4164.05
KF-16285,Karen Ferguson,4158.912
GT-14710,Greg Tran,4007.84
CJ-12010,Caroline Jumper,3999.95
NM-18445,Nathan Mautz,3991.98
AA-10315,Alex Avila,3930.072
SD-20485,Shirley Daniels,3812.97
LW-17215,Luke Weiss,3785.292
NP-18700,Nora Preis,3610.848
LA-16780,Laura Armstrong,3504.9
KH-16690,Kristen Hastings,3499.93
MS-17365,Maribeth Schnelling,3406.664
SR-20740,Steven Roelle,3404.5
EB-13840,Ellis Ballard,3393.68
PS-19045,Penelope Sewall,3359.952
RH-19510,Rick Huthwaite,3357.6
KC-16540,Kelly Collister,3347.37
GH-14425,Gary Hwang,3266.376
FH-14365,Fred Hopkins,3149.93
TB-21520,Tracy Blumstein,3083.43
KW-16435,Katrina Willman,3080.0
BW-11110,Bart Watters,3059.982
SB-20290,Sean Braxton,3059.982
LC-16885,Lena Creighton,3050.376
MC-17425,Mark Cousins,3040.0
ME-17320,Maria Etezadi,3023.928
AD-10180,Alan Dominguez,2999.95
JE-15610,Jim Epp,2999.95
SB-20185,Sarah Brown,2973.32
BD-11500,Bradley Drucker,2939.93
YC-21895,Yoseph Carroll,2934.33
SV-20365,Seth Vernon,2888.127
SC-20230,Scot Coram,2887.056
RM-19675,Robert Marley,2879.952
RP-19390,Resi Pölking,2807.84
SC-20305,Sean Christensen,2803.92
DM-13015,Darrin Martin,2799.96
IM-15055,Ionia McGrath,2799.96
NW-18400,Natalie Webber,2799.944
YS-21880,Yana Sorensen,2793.528
SA-20830,Sue Ann Reed,2735.952
MW-18235,Mitch Willingham,2715.93
DM-13345,Denise Monton,2690.97
AS-10285,Alejandro Savely,2678.94
LC-16960,Lindsay Castell,2676.672
SF-20200,Sarah Foster,2665.62
AT-10735,Annie Thurman,2625.12
JL-15835,John Lee,2624.985
ED-13885,Emily Ducich,2621.322
GK-14620,Grace Kelly,2575.944
BD-11320,Bill Donatelli,2567.84
JE-15715,Joe Elijah,2563.056
SR-20425,Sharelle Roach,2549.985
CL-12565,Clay Ludtke,2548.56
PW-19240,Pierre Wener,2541.98
RW-19540,Rick Wilson,2518.29
JD-16150,Justin Deggeller,2504.74
JK-16090,Juliana Krohn,2479.96
JE-15745,Joel Eaton,2453.43
MT-17815,Meg Tillman,2430.08
HW-14935,Helen Wasserman,2405.2
TT-21070,Ted Trevino,2404.704
HK-14890,Heather Kirkland,2399.96
HR-14830,Harold Ryan,2399.96
LC-16930,Linda Cazamias,2396.4
AG-10675,Anna Gayman,2396.2656
JK-15640,Jim Kriz,2395.2
ES-14020,Erica Smith,2357.488
PP-18955,Paul Prost,2348.82
Dp-13240,Dean percer,2321.9
RH-19495,Rick Hansen,2309.65
CM-12655,Corinna Mitchell,2279.96
AH-10690,Anna Häberlin,2275.5
PM-19135,Peter McVee,2249.91
TB-21175,Thomas Boland,2249.91
TS-21205,Thomas Seio,2239.936
LF-17185,Luke Foster,2177.584
NP-18670,Nora Paige,2154.9
JD-15895,Jonathan Doherty,2104.55
DB-13270,Deborah Brumfield,2079.4
RB-19795,Ross Baird,2065.32
MZ-17515,Mary Zewe,2033.584
NF-18385,Natalie Fritzler,2025.36
TW-21025,Tamara Willingham,2003.92
CM-12160,Charles McCrossin,2003.52
LP-17095,Liz Preis,2003.168
DW-13480,Dianna Wilson,2001.86
CA-11965,Carol Adams,1999.96
HG-15025,Hunter Glantz,1999.96
RA-19915,Russell Applegate,1983.968
DG-13300,Deirdre Greer,1979.89
JE-16165,Justin Ellison,1951.84
SP-20620,Stefania Perrino,1931.958
ND-18370,Natalie DeCherney,1931.04
BE-11335,Bill Eplett,1928.78
FC-14245,Frank Carlisle,1927.59
RW-19690,Robert Waldorf,1924.16
CC-12145,Charles Crestani,1919.976
HG-14965,Henry Goldwyn,1889.99
TT-21460,Tonja Turnell,1879.96
VP-21760,Victoria Pisteka,1875.258
JK-15205,Jamie Kunitz,1871.88
SC-20050,Sample Company A,1856.19
IM-15070,Irene Maddox,1819.86
DL-13495,Dionis Lloyd,1801.632
JD-15790,John Dryer,1801.632
SM-20950,Suzanne McNair,1801.632
JG-15115,Jack Garza,1799.97
KT-16480,Kean Thornton,1799.97
AC-10450,Amy Cox,1793.98
SC-20380,Shahid Collister,1781.682
BB-11545,Brenda Bowman,1779.9
AJ-10780,Anthony Jacobs,1737.18
BH-11710,Brosina Hoffman,1706.184
DJ-13630,Doug Jacobs,1704.56
GB-14575,Giulietta Baptist,1690.04
KM-16375,Katherine Murray,1687.8
LW-16990,Lindsay Williams,1685.88
SP-20860,Sung Pak,1684.752
AI-10855,Arianne Irving,1679.96
RD-19480,Rick Duston,1676.88
CR-12580,Clay Rozendal,1673.184
MC-17845,Michael Chen,1669.6
MM-17920,Michael Moore,1652.94
MP-17965,Michael Paige,1652.94
GZ-14545,George Zrebassa,1649.95
NM-18520,Neoma Murray,1649.95
BE-11410,Bobby Elias,1649.75
FC-14335,Fred Chung,1640.7
TH-21550,Tracy Hopkins,1633.188
BM-11650,Brian Moss,1633.14
TC-21295,Toby Carlisle,1628.82
AR-10825,Anthony Rawles,1626.192
SG-20605,Speros Goranitis,1619.91
JS-15880,John Stevenson,1618.37
DC-12850,Dan Campbell,1614.582
AM-10705,Anne McFarland,1604.9
DJ-13510,Don Jones,1603.136
MA-17995,Michelle Arnett,1603.136
JF-15565,Jill Fjeld,1599.92
RO-19780,Rose O'Brian,1598.058
BO-11350,Bill Overfelt,1592.85
TP-21130,Theone Pippenger,1586.69
CP-12340,Christine Phan,1579.746
AH-10210,Alan Hwang,1577.94
RD-19660,Robert Dilbeck,1577.94
PV-18985,Paul Van Hugh,1575.14
PC-18745,Pamela Coakley,1573.488
JO-15145,Jack O'Briant,1565.88
CB-12535,Claudia Bergmann,1564.29
TH-21115,Thea Hudgings,1554.936
SC-20260,Scott Cohen,1552.831
DB-13120,David Bremer,1548.99
SP-20920,Susan Pistek,1537.074
NC-18415,Nathan Cano,1525.188
EB-13750,Edward Becker,1522.638
ZC-21910,Zuschuss Carroll,1516.2
MH-18025,Michelle Huthwaite,1504.52
TH-21100,Thea Hendricks,1502.376
FM-14290,Frank Merwin,1499.97
EM-14140,Eugene Moren,1499.95
MG-17680,Maureen Gastineau,1497.666
AR-10405,Allen Rosenblatt,1488.424
BT-11305,Beth Thompson,1487.04
JL-15505,Jeremy Lonsdale,1473.1
JF-15415,Jennifer Ferguson,1471.96
DJ-13420,Denny Joy,1454.9
IL-15100,Ivan Liston,1454.49
GA-14515,George Ashbrook,1447.65
FO-14305,Frank Olsen,1441.3
AS-10045,Aaron Smayling,1439.982
CB-12415,Christy Brittain,1439.976
DF-13135,David Flashing,1439.968
SL-20155,Sara Luxemburg,1439.92
GM-14680,Greg Matthias,1432.0
MH-17455,Mark Hamilton,1424.9
SJ-20125,Sanjit Jacobs,1415.76
DE-13255,Deanra Eno,1408.1
TM-21010,Tamara Manning,1406.86
SF-20965,Sylvia Foulston,1403.92
SH-20635,Stefanie Holloman,1403.92
CM-12235,Chris McAfee,1399.944
PJ-19015,Pauline Johnson,1399.93
VD-21670,Valerie Dominguez,1399.93
LD-17005,Lisa DeCherney,1395.54
AS-10225,Alan Schoenberger,1394.95
BG-11035,Barry Gonzalez,1369.764
OT-18730,Olvera Toch,1369.764
TS-21430,Tom Stivers,1367.84
JK-15730,Joe Kamberova,1363.96
RL-19615,Rob Lucas,1362.9
KL-16555,Kelly Lampkin,1359.96
AH-10465,Amy Hunt,1352.3976
MW-18220,Mitch Webber,1349.91
EN-13780,Edward Nazzal,1349.85
EM-13810,Eleni McCrary,1348.704
ND-18460,Neil Ducich,1347.52
KH-16510,Keith Herrera,1336.829
AG-10270,Alejandro Grove,1336.44
BD-11605,Brian Dahlen,1325.85
RR-19525,Rick Reed,1325.85
CL-12700,Craig Leslie,1325.76
