customer_id,customer_name,segment,country,city,state,postal_code,region,first_order_date,last_order_date,total_orders,total_sales,record_start_date
AA-10375,Allen Armold,Corporate,United States,New York City,New York,10035,East,2017-09-07,2017-12-11,2,206.73,2018-01-01
AA-10645,Anna Andreadi,Consumer,United States,San Diego Updated,California,92105,West,2017-11-05,2017-11-05,1,12.96,2018-01-01
AB-10060,Adam Bellavance,Home Office,United States,Seattle,Washington,98105,East,2017-05-07,2017-11-06,3,2915.53,2018-01-01
AB-10105,Adrian Barton,Corporate,United States,,Illinois,61701,Central,2017-06-05,2017-08-03,2,510.19,2018-01-01
AB-10150,Aimee Bixby,Consumer,United States,Long Beach Updated,New York,11561,East,2017-09-04,2017-09-04,1,91.96,2018-01-01
AB-10165,Alan Barnes,Consumer,United States,Bellevue,Washington,98006,East,2017-12-05,2017-12-05,1,39.79,2018-01-01
AB-10255,Alejandro Ballentine,Consumer,United States,Lorain,Ohio,44052,East,2017-06-02,2017-06-02,1,30.41,2018-01-01
AB-10600,Ann Blume,Corporate,United States,Tucson,Arizona,85705,West,2017-11-10,2017-11-10,1,1475.05,2017-01-01
AC-10420,Alyssa Crouse,Corporate,United States,Houston Updated,Texas,77041,Central,2017-05-12,2017-05-12,1,162.16,2018-01-01
AC-10450,Amy Cox,Consumer,United States,Minneapolis,Minnesota,55407,South,2017-10-03,2017-10-03,1,1793.98,2018-01-01
AC-10615,Ann Chong,Corporate,United States,New York City,New York,10009,East,2017-09-02,2017-09-02,1,2255.87,2017-01-01
AD-10180,Alan Dominguez,Consumer,United States,Fairfield,Connecticut,6824,East,2017-12-01,2017-12-01,1,916.59,2018-01-01
AG-10300,Aleksandra Gannaway,Corporate,United States,San Francisco Updated,California,94122,West,2017-09-03,2017-09-03,1,5.96,2018-01-01
AG-10330,Alex Grayson,Consumer,United States,Stockton,California,95207,East,2017-12-10,2017-12-10,1,108.8,2018-01-01
AG-10390,Allen Goldenen,Consumer,United States,Los Angeles,California,90004,West,2017-09-07,2017-09-07,1,19.76,2017-01-01
AG-10675,Anna Gayman,Consumer,United States,Milwaukee,Wisconsin,53209,Central,2017-06-09,2017-09-07,2,62.6,2017-01-01
AG-10900,Arthur Gainer,Consumer,United States,Dallas,Texas,75217,Central,2017-05-01,2017-09-03,2,427.36,2017-01-01
AH-10120,Adrian Hane,Home Office,United States,Houston,Texas,77036,Central,2017-04-08,2017-07-02,2,609.5,2017-01-01
AH-10195,Alan Haines,Corporate,United States,Chicago,Illinois,60623,Central,2017-11-05,2017-11-05,1,16.03,2017-01-01
AH-10210,Alan Hwang,Consumer,United States,Henderson,Kentucky,42420,South,2017-03-08,2017-09-02,2,1752.5,2017-01-01
AH-10465,Amy Hunt,Consumer,United States,Decatur,Alabama,35601,South,2017-04-02,2017-04-02,1,14.94,2017-01-01
AH-10585,Angele Hood,Consumer,United States,Chicago,Illinois,60623,Central,2017-07-06,2017-12-09,2,255.22,2017-01-01
AI-10855,Arianne Irving,Consumer,United States,Philadelphia,Pennsylvania,19120,East,2017-05-05,2017-12-11,3,76.73,2017-01-01
AJ-10945,Ashley Jarboe,Consumer,United States,Chandler,Arizona,85224,West,2017-10-06,2017-10-06,1,9.34,2017-01-01
AM-10360,Alice McCarthy,Corporate,United States,Los Angeles,California,90032,West,2017-12-02,2017-12-02,1,178.89,2017-01-01
AM-10705,Anne McFarland,Consumer,United States,Des Plaines,Illinois,60016,Central,2017-04-04,2017-04-04,1,383.84,2017-01-01
AP-10915,Arthur Prichep,Consumer,United States,Palm Coast,Florida,32137,South,2017-09-03,2017-09-03,1,24.45,2017-01-01
AR-10345,Alex Russell,Corporate,United States,Lawrence,Massachusetts,1841,East,2017-09-08,2017-09-10,2,100.08,2017-01-01
AR-10825,Anthony Rawles,Corporate,United States,Columbus,Ohio,43229,East,2017-11-02,2017-11-02,1,384.59,2017-01-01
AS-10045,Aaron Smayling,Corporate,United States,Pasadena,California,91104,West,2017-01-02,2017-10-03,4,2475.85,2017-01-01
AS-10090,Adam Shillingsburg,Consumer,United States,Charlottesville,Virginia,22901,South,2017-04-01,2017-12-02,2,157.25,2017-01-01
AS-10225,Alan Schoenberger,Corporate,United States,San Francisco,California,94109,West,2017-12-08,2017-12-08,1,69.48,2017-01-01
AS-10285,Alejandro Savely,Corporate,United States,Palatine,Illinois,60067,Central,2017-12-11,2017-12-11,1,116.31,2017-01-01
AT-10435,Alyssa Tate,Home Office,United States,Los Angeles,California,90004,West,2017-04-02,2017-12-09,2,1107.61,2017-01-01
AT-10735,Annie Thurman,Consumer,United States,Chicago,Illinois,60653,Central,2017-07-07,2017-08-01,2,101.92,2017-01-01
AW-10840,Anthony Witt,Consumer,United States,Philadelphia,Pennsylvania,19140,East,2017-09-02,2017-12-10,2,606.23,2017-01-01
BB-10990,Barry Blumstein,Corporate,United States,Toledo,Ohio,43615,East,2017-06-01,2017-06-01,1,17.48,2017-01-01
BB-11545,Brenda Bowman,Corporate,United States,Oakland,California,94601,West,2017-08-12,2017-12-02,3,4554.39,2017-01-01
BC-11125,Becky Castell,Home Office,United States,Peoria,Arizona,85345,West,2017-06-11,2017-06-11,1,668.74,2017-01-01
BD-11320,Bill Donatelli,Consumer,United States,Seattle,Washington,98103,West,2017-04-12,2017-06-10,2,185.58,2017-01-01
BD-11725,Bruce Degenhardt,Consumer,United States,San Francisco,California,94122,West,2017-08-03,2017-08-03,1,175.71,2017-01-01
BD-11770,Bryan Davis,Consumer,United States,New York City,New York,10024,East,2017-02-06,2017-02-06,1,240.78,2017-01-01
BE-11335,Bill Eplett,Home Office,United States,Jackson,Michigan,49201,Central,2017-09-02,2017-09-02,1,3480.96,2017-01-01
BF-11020,Barry Franz̦sisch,Corporate,United States,Arlington,Texas,76017,Central,2017-04-01,2017-09-08,2,933.27,2017-01-01
BF-11080,Bart Folk,Consumer,United States,New York City,New York,10024,East,2017-09-12,2017-12-05,2,258.28,2017-01-01
BF-11170,Ben Ferrer,Home Office,United States,San Francisco,California,94109,West,2017-03-06,2017-03-06,1,14.98,2017-01-01
BF-11275,Beth Fritzler,Corporate,United States,Miami,Florida,33178,South,2017-07-10,2017-11-03,2,403.29,2017-01-01
BG-11035,Barry Gonzalez,Consumer,United States,Greensboro,North Carolina,27405,South,2017-11-02,2017-12-02,2,38.34,2017-01-01
BG-11740,Bruce Geld,Consumer,United States,Bakersfield,California,93309,West,2017-11-03,2017-11-03,1,486.37,2017-01-01
BH-11710,Brosina Hoffman,Consumer,United States,Hattiesburg,Mississippi,39401,South,2017-12-07,2017-12-07,1,372.64,2017-01-01
BM-11650,Brian Moss,Corporate,United States,Columbia,Maryland,21044,East,2017-11-09,2017-11-09,1,3013.78,2017-01-01
BN-11470,Brad Norvell,Corporate,United States,Brentwood,California,94513,West,2017-12-06,2017-12-06,1,10.68,2017-01-01
BN-11515,Bradley Nguyen,Consumer,United States,New York City,New York,10009,East,2017-09-01,2017-09-01,1,114.9,2017-01-01
BO-11350,Bill Overfelt,Corporate,United States,Philadelphia,Pennsylvania,19134,East,2017-02-02,2017-05-03,2,986.03,2017-01-01
BP-11050,Barry Pond,Corporate,United States,Cranston,Rhode Island,2920,East,2017-10-08,2017-10-08,1,42.76,2017-01-01
BP-11155,Becky Pak,Consumer,United States,New York City,New York,10011,East,2017-07-10,2017-10-02,2,67.96,2017-01-01
BP-11185,Ben Peterman,Corporate,United States,Seattle,Washington,98103,West,2017-12-10,2017-12-10,2,477.72,2017-01-01
BP-11290,Beth Paige,Consumer,United States,Philadelphia,Pennsylvania,19140,East,2017-01-09,2017-01-09,1,274.49,2017-01-01
BS-11380,Bill Stewart,Corporate,United States,Denver,Colorado,80219,West,2017-03-12,2017-12-02,2,2158.56,2017-01-01
BS-11755,Bruce Stewart,Consumer,United States,Philadelphia,Pennsylvania,19143,East,2017-04-10,2017-04-10,1,231.78,2017-01-01
BS-11800,Bryan Spruell,Home Office,United States,New York City,New York,10011,East,2017-04-09,2017-04-09,1,760.8,2017-01-01
BT-11395,Bill Tyler,Corporate,United States,Los Angeles,California,90004,West,2017-03-03,2017-03-03,1,399.67,2017-01-01
BT-11680,Brian Thompson,Consumer,United States,Fort Lauderdale,Florida,33311,South,2017-12-10,2017-12-10,1,19.1,2017-01-01
BW-11065,Barry Weirich,Consumer,United States,Philadelphia,Pennsylvania,19120,East,2017-06-01,2017-06-01,1,324.74,2017-01-01
BW-11110,Bart Watters,Corporate,United States,Detroit,Michigan,48205,Central,2017-01-07,2017-01-07,1,3059.98,2017-01-01
BW-11200,Ben Wallace,Consumer,United States,Los Angeles,California,90032,West,2017-06-08,2017-06-10,2,28.58,2017-01-01
CA-12265,Christina Anderson,Consumer,United States,Chattanooga,Tennessee,37421,South,2017-07-03,2017-11-04,3,804.21,2017-01-01
CA-12310,Christine Abelman,Corporate,United States,Cincinnati,Ohio,45231,East,2017-12-09,2017-12-09,1,94.78,2017-01-01
CA-12775,Cynthia Arntzen,Consumer,United States,Detroit,Michigan,48205,Central,2017-05-12,2017-09-01,2,651.67,2017-01-01
CB-12025,Cassandra Brandow,Consumer,United States,Richmond,Virginia,23223,South,2017-02-05,2017-09-11,4,807.66,2017-01-01
CB-12415,Christy Brittain,Consumer,United States,Chicago,Illinois,60610,Central,2017-12-04,2017-12-04,1,61.57,2017-01-01
CB-12535,Claudia Bergmann,Corporate,United States,Southaven,Mississippi,38671,South,2017-03-05,2017-03-05,1,839.25,2017-01-01
CC-12220,Chris Cortes,Consumer,United States,Fairfield,Connecticut,6824,East,2017-05-04,2017-12-10,2,680.81,2017-01-01
CC-12370,Christopher Conant,Consumer,United States,Houston,Texas,77070,Central,2017-11-06,2017-11-06,1,1.25,2017-01-01
CC-12430,Chuck Clark,Home Office,United States,Minneapolis,Minnesota,55407,Central,2017-10-03,2017-11-06,2,502.8,2017-01-01
CC-12475,Cindy Chapman,Consumer,United States,Houston,Texas,77070,Central,2017-08-07,2017-09-11,2,587.98,2017-01-01
CC-12550,Clay Cheatham,Consumer,United States,Plano,Texas,75023,Central,2017-12-01,2017-12-03,2,65.86,2017-01-01
CC-12670,Craig Carreira,Consumer,United States,New York City,New York,10009,East,2017-12-01,2017-12-01,1,259.44,2017-01-01
CD-11980,Carol Darley,Consumer,United States,New York City,New York,10011,East,2017-11-06,2017-11-06,1,318.96,2017-01-01
CD-12280,Christina DeMoss,Consumer,United States,New York City,New York,10024,East,2017-11-05,2017-11-05,1,796.04,2017-01-01
AA-10375,Allen Armold,Corporate,United States,New York City,New York,10035,East,2017-09-07,2017-12-11,2,206.73,2018-01-01
