customer_id,customer_name,segment,country,city,state,postal_code,region,first_order_date,last_order_date,total_orders,total_sales,record_start_date
AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,78664,Central,2015-10-04,2016-03-03,2,4433.03,2016-12-31
AA-10375,Allen Armold,Consumer,United States,Mesa,Arizona,85204,West,2015-02-03,2016-07-10,3,200.39,2016-12-31
AA-10480,Andrew Allen,Consumer,United States,Middletown,Connecticut,6457,East,2014-05-04,2014-05-04,1,27.46,2016-12-31
AA-10645,Anna Andreadi,Consumer,United States,Georgetown,Kentucky,40324,South,2014-12-01,2016-09-04,3,1995.74,2016-12-31
AB-10015,Aaron Bergman,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,2014-03-07,2016-11-10,2,873.53,2016-12-31
AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,2016-09-01,2016-09-01,1,4438.69,2016-12-31
AB-10105,Adrian Barton,Consumer,United States,New York City,New York,10011,East,2015-11-07,2016-02-02,2,788.96,2016-12-31
AB-10150,Aimee Bixby,Consumer,United States,Tulsa,Oklahoma,74133,Central,2014-03-05,2015-09-10,2,720.5,2016-12-31
AB-10165,Alan Barnes,Consumer,United States,Louisville,Colorado,80027,West,2015-05-10,2015-05-10,1,46.69,2016-12-31
AB-10255,Alejandro Ballentine,Home Office,United States,Philadelphia,Pennsylvania,19134,East,2015-05-08,2015-12-03,2,91.17,2016-12-31
AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,94122,West,2014-07-12,2014-07-12,1,706.06,2016-12-31
AC-10450,Amy Cox,Consumer,United States,New York City,New York,10011,East,2015-11-08,2015-11-08,1,70.21,2016-12-31
AD-10180,Alan Dominguez,Home Office,United States,New York City,New York,10035,East,2015-07-04,2015-07-04,1,15.48,2016-12-31
AF-10870,Art Ferguson,Consumer,United States,Chicago,Illinois,60610,Central,2015-12-06,2016-05-06,2,37.16,2016-12-31
AF-10885,Art Foster,Consumer,United States,Toledo,Ohio,43615,East,2014-05-10,2016-11-10,3,489.9,2016-12-31
AG-10300,Aleksandra Gannaway,Corporate,United States,Franklin,Massachusetts,2038,East,2016-12-05,2016-12-05,1,81.94,2016-12-31
AG-10330,Alex Grayson,Consumer,United States,Tulsa,Oklahoma,74133,Central,2016-08-03,2016-08-03,1,248.82,2016-12-31
AG-10390,Allen Goldenen,Consumer,United States,Knoxville,Tennessee,37918,South,2014-09-03,2016-12-01,2,19.1,2016-12-31
AG-10495,Andrew Gjertsen,Corporate,United States,Detroit,Michigan,48234,Central,2015-01-04,2015-11-11,3,1672.01,2016-12-31
AG-10525,Andy Gerbode,Corporate,United States,New York City,New York,10011,East,2014-08-09,2015-09-07,4,1455.04,2016-12-31
AG-10675,Anna Gayman,Consumer,United States,Houston,Texas,77036,Central,2015-05-07,2016-09-08,2,2880.88,2016-12-31
AG-10765,Anthony Garverick,Home Office,United States,Lawrence,Indiana,46226,Central,2015-06-09,2015-11-09,2,123.84,2016-12-31
AG-10900,Arthur Gainer,Consumer,United States,Eau Claire,Wisconsin,54703,Central,2015-09-05,2016-12-08,2,1819.15,2016-12-31
AH-10195,Alan Haines,Corporate,United States,Bethlehem,Pennsylvania,18018,East,2015-03-05,2015-03-05,1,132.94,2016-12-31
AH-10210,Alan Hwang,Consumer,United States,New York City,New York,10024,East,2015-11-10,2015-12-07,2,881.89,2016-12-31
AH-10465,Amy Hunt,Consumer,United States,San Francisco,California,94109,West,2015-01-03,2016-05-05,2,1828.94,2016-12-31
AH-10690,Anna HÃ¤berlin,Corporate,United States,Coral Gables,Florida,33134,South,2014-04-02,2016-10-04,6,2124.31,2016-12-31
AI-10855,Arianne Irving,Consumer,United States,Los Angeles,California,90036,West,2014-05-10,2016-11-10,2,1668.86,2016-12-31
AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,2014-01-10,2014-01-10,1,54.83,2016-12-31
AJ-10795,Anthony Johnson,Corporate,United States,Springfield,Virginia,22153,South,2016-01-05,2016-09-12,2,1414.96,2016-12-31
AJ-10945,Ashley Jarboe,Consumer,United States,Detroit,Michigan,48227,Central,2014-03-03,2015-06-01,2,793.93,2016-12-31
AM-10360,Alice McCarthy,Corporate,United States,Omaha,Nebraska,68104,Central,2014-10-06,2014-10-06,1,15.36,2016-12-31
AP-10720,Anne Pryor,Home Office,United States,Los Angeles,California,90032,West,2014-03-03,2016-12-06,3,1368.07,2016-12-31
AP-10915,Arthur Prichep,Consumer,United States,Seattle,Washington,98105,West,2014-11-11,2016-12-10,3,1469.56,2016-12-31
AR-10345,Alex Russell,Corporate,United States,Austin,Texas,78745,Central,2015-09-10,2015-09-10,1,179.89,2016-12-31
AR-10405,Allen Rosenblatt,Corporate,United States,Los Angeles,California,90036,West,2014-10-03,2014-10-03,1,265.78,2016-12-31
AR-10510,Andrew Roberts,Consumer,United States,Columbus,Ohio,43229,East,2014-05-02,2014-05-02,1,26.14,2016-12-31
AR-10540,Andy Reiter,Consumer,United States,Los Angeles,California,90004,West,2015-04-11,2015-04-11,1,692.73,2016-12-31
AR-10825,Anthony Rawles,Corporate,United States,Vancouver,Washington,98661,West,2015-03-08,2016-12-11,3,1000.42,2016-12-31
AS-10090,Adam Shillingsburg,Consumer,United States,Chicago,Illinois,60653,Central,2015-11-09,2016-09-11,3,1129.72,2016-12-31
AS-10225,Alan Schoenberger,Corporate,United States,Longmont,Colorado,80501,West,2015-05-04,2016-12-02,2,192.4,2016-12-31
AS-10240,Alan Shonely,Consumer,United States,Philadelphia,Pennsylvania,19120,East,2014-10-11,2016-04-07,2,77.91,2016-12-31
AS-10285,Alejandro Savely,Corporate,United States,Noblesville,Indiana,46060,Central,2016-11-04,2016-11-11,3,2912.81,2016-12-31
