Order ID,Customer Name,Category,Sub-Category,Sales,Quantity,Profit
CA-2016-152156,Claire Gute,Furniture,Bookcases,261.96,2,41.9136
CA-2016-152156,Claire Gute,Furniture,Chairs,731.94,3,219.582
CA-2016-138688,Darrin Van Huff,Office Supplies,Labels,14.62,2,6.8714
US-2015-108966,Sean O'Donnell,Furniture,Tables,957.5775,5,-383.031
US-2015-108966,Sean O'Donnell,Office Supplies,Storage,22.368,2,2.5164
CA-2014-115812,Brosina Hoffman,Furniture,Furnishings,48.86,7,14.1694
CA-2014-115812,Brosina Hoffman,Office Supplies,Art,7.28,4,1.9656
CA-2014-115812,Brosina Hoffman,Technology,Phones,907.152,6,90.7152
CA-2014-115812,Brosina Hoffman,Office Supplies,Binders,18.504,3,5.7825
CA-2014-115812,Brosina Hoffman,Office Supplies,Appliances,114.9,5,34.47
CA-2014-115812,Brosina Hoffman,Furniture,Tables,1706.184,9,85.3092
CA-2014-115812,Brosina Hoffman,Technology,Phones,911.424,4,68.3568
CA-2017-114412,Andrew Allen,Office Supplies,Paper,15.552,3,5.4432
CA-2016-161389,Irene Maddox,Office Supplies,Binders,407.976,3,132.5922
US-2015-118983,Harold Pawlan,Office Supplies,Appliances,68.81,5,-123.858
US-2015-118983,Harold Pawlan,Office Supplies,Binders,2.544,3,-3.816
CA-2014-105893,Pete Kriz,Office Supplies,Storage,665.88,6,13.3176
CA-2014-167164,Alejandro Grove,Office Supplies,Storage,55.5,2,9.99
CA-2014-143336,Zuschuss Donatelli,Office Supplies,Art,8.56,2,2.4824
CA-2014-143336,Zuschuss Donatelli,Technology,Phones,213.48,3,16.011
CA-2014-143336,Zuschuss Donatelli,Office Supplies,Binders,22.72,4,7.384
CA-2016-137330,Ken Black,Office Supplies,Art,19.46,7,5.0596
CA-2016-137330,Ken Black,Office Supplies,Appliances,60.34,7,15.6884
US-2017-156909,Sandra Flanagan,Furniture,Chairs,71.372,2,-1.0196
CA-2015-106320,Emily Burns,Furniture,Tables,1044.63,3,240.2649
CA-2016-121755,Eric Hoffmann,Office Supplies,Binders,11.648,2,4.2224
CA-2016-121755,Eric Hoffmann,Technology,Accessories,90.57,3,11.7741
US-2015-150630,Tracy Blumstein,Furniture,Bookcases,3083.43,7,-1665.0522
US-2015-150630,Tracy Blumstein,Office Supplies,Binders,9.618,2,-7.0532
US-2015-150630,Tracy Blumstein,Furniture,Furnishings,124.2,3,15.525
