customer_id,customer_name,frequency,spend,frequency_segment,spend_tier
C0325,Laksh Saini,9,1312621.11,Loyal,High
C0170,Radhika Maharaj,8,1137274.01,Loyal,High
C0089,Nikita Chander,5,1088126.41,Loyal,High
C0040,Alka Barad,6,1088035.12,Loyal,High
C0397,Gaurang Tara,5,1030010.82,Loyal,High
C0124,Girik Sankaran,7,998129.24,Loyal,High
C0361,Vrinda Sehgal,8,991026.95,Loyal,High
C0197,Vedant Behl,5,934737.27,Loyal,High
C0235,Madhav Babu,5,905127.47,Loyal,High
C0359,Oscar Hans,6,891684.83,Loyal,High
C0052,Lakshit Dora,5,825918.75,Loyal,High
C0289,Dalaja Kaur,4,799595.8,Occasional,High
C0113,Warinder Patil,5,798820.95,Loyal,High
C0301,Dayita Sarkar,3,797706.13,Occasional,High
C0229,Ubika Bhardwaj,5,766837.05,Loyal,High
C0005,Jeet Radhakrishnan,4,752070.04,Occasional,High
C0371,Udant Mohanty,4,751071.81,Occasional,High
C0038,Inaya Mody,6,749665.43,Loyal,High
C0305,Christopher Tata,4,709625.6,Occasional,High
C0192,Ethan Raju,4,707143.66,Occasional,High
