customer_id,customer_name,lifetime_value,orders
C0325,Laksh Saini,1312621.11,9
C0170,Radhika Maharaj,1137274.01,8
C0089,Nikita Chander,1088126.41,5
C0040,Alka Barad,1088035.12,6
C0397,Gaurang Tara,1030010.82,5
C0124,Girik Sankaran,998129.24,7
C0361,Vrinda Sehgal,991026.95,8
C0197,Vedant Behl,934737.27,5
C0235,Madhav Babu,905127.47,5
C0359,Oscar Hans,891684.83,6
C0052,Lakshit Dora,825918.75,5
C0289,Dalaja Kaur,799595.8,4
C0113,Warinder Patil,798820.95,5
C0301,Dayita Sarkar,797706.13,3
C0229,Ubika Bhardwaj,766837.05,5
C0005,Jeet Radhakrishnan,752070.04,4
C0371,Udant Mohanty,751071.81,4
C0038,Inaya Mody,749665.43,6
C0305,Christopher Tata,709625.6,4
C0192,Ethan Raju,707143.66,4
