Report: Top Customers

| customer_id   | customer_name      |   lifetime_value |   orders |
|---------------|--------------------|------------------|----------|
| C0325         | Laksh Saini        |      1.31262e+06 |        9 |
| C0170         | Radhika Maharaj    |      1.13727e+06 |        8 |
| C0089         | Nikita Chander     |      1.08813e+06 |        5 |
| C0040         | Alka Barad         |      1.08804e+06 |        6 |
| C0397         | Gaurang Tara       |      1.03001e+06 |        5 |
| C0124         | Girik Sankaran     | 998129           |        7 |
| C0361         | Vrinda Sehgal      | 991027           |        8 |
| C0197         | Vedant Behl        | 934737           |        5 |
| C0235         | Madhav Babu        | 905127           |        5 |
| C0359         | Oscar Hans         | 891685           |        6 |
| C0052         | Lakshit Dora       | 825919           |        5 |
| C0289         | Dalaja Kaur        | 799596           |        4 |
| C0113         | Warinder Patil     | 798821           |        5 |
| C0301         | Dayita Sarkar      | 797706           |        3 |
| C0229         | Ubika Bhardwaj     | 766837           |        5 |
| C0005         | Jeet Radhakrishnan | 752070           |        4 |
| C0371         | Udant Mohanty      | 751072           |        4 |
| C0038         | Inaya Mody         | 749665           |        6 |
| C0305         | Christopher Tata   | 709626           |        4 |
| C0192         | Ethan Raju         | 707144           |        4 |
